Genetic Feature,Recurrent Gain Loss,Genes in Segment
FTSJD1_mut,,FTSJD1
FXR1_mut,,FXR1
G3BP2_mut,,G3BP2
GATA3_mut,,GATA3
GNA11_mut,,GNA11
GNAS_mut,,GNAS
GPS2_mut,,GPS2
HDAC9_mut,,HDAC9
HGF_mut,,HGF
HLA.A_mut,,HLA.A
HLA.B_mut,,HLA.B
HNF1A_mut,,HNF1A
HRAS_mut,,HRAS
HSPA8_mut,,HSPA8
IDH1_mut,,IDH1
IDH2_mut,,IDH2
INPP4A_mut,,INPP4A
INPPL1_mut,,INPPL1
IREB2_mut,,IREB2
ITSN1_mut,,ITSN1
KALRN_mut,,KALRN
KAT6B_mut,,KAT6B
KDM5C_mut,,KDM5C
KDM6A_mut,,KDM6A
KDR_mut,,KDR
KEAP1_mut,,KEAP1
KIT_mut,,KIT
KRAS_mut,,KRAS
LAMA2_mut,,LAMA2
LARP4B_mut,,LARP4B
LIMA1_mut,,LIMA1
LNPEP_mut,,LNPEP
LPHN2_mut,,LPHN2
LRP6_mut,,LRP6
LRPPRC_mut,,LRPPRC
MACF1_mut,,MACF1
MAGI2_mut,,MAGI2
MAP2K1_mut,,MAP2K1
MAP2K4_mut,,MAP2K4
MAP3K1_mut,,MAP3K1
MAP3K4_mut,,MAP3K4
MAP4K3_mut,,MAP4K3
MAX_mut,,MAX
MCM3_mut,,MCM3
MCM8_mut,,MCM8
MECOM_mut,,MECOM
MED12_mut,,MED12
MED23_mut,,MED23
MED24_mut,,MED24
MEN1_mut,,MEN1
MET_mut,,MET
MGA_mut,,MGA
MKL1_mut,,MKL1
MLH1_mut,,MLH1
MLH3_mut,,MLH3
MLL_mut,,MLL
MLL.AFF1_mut,,MLL.AFF1
MLL2_mut,,MLL2
MLL3_mut,,MLL3
MLLT4_mut,,MLLT4
MNDA_mut,,MNDA
MSR1_mut,,MSR1
MTOR_mut,,MTOR
MYC_mut,,MYC
MYCN_mut,,MYCN
MYH11_mut,,MYH11
MYH14_mut,,MYH14
MYH9_mut,,MYH9
NCOR1_mut,,NCOR1
NCOR2_mut,,NCOR2
NF1_mut,,NF1
NF2_mut,,NF2
NFE2L2_mut,,NFE2L2
NOTCH1_mut,,NOTCH1
NOTCH2_mut,,NOTCH2
NPM1_mut,,NPM1
NR4A2_mut,,NR4A2
NRAS_mut,,NRAS
NSD1_mut,,NSD1
NTN4_mut,,NTN4
NTRK2_mut,,NTRK2
NUP93_mut,,NUP93
NUP98_mut,,NUP98
PABPC3_mut,,PABPC3
PBRM1_mut,,PBRM1
PCDH18_mut,,PCDH18
PCSK5_mut,,PCSK5
PGR_mut,,PGR
PHF6_mut,,PHF6
PHLPP1_mut,,PHLPP1
PIK3C2B_mut,,PIK3C2B
PIK3CA_mut,,PIK3CA
